Année,Sexe,Classe_d_age,Nombre de décès,Taux brut
2023,Hommes,00-10 ans,2.5,0.1
2023,Femmes,00-10 ans,0.0,0.0
2023,Femmes,11-14 ans,9.0,0.5
2023,Femmes,18-24 ans,112.0,4.1
2023,Femmes,65-84 ans,554.0,8.3
2023,Femmes,85 ans et plus,188.0,12.3
2023,Hommes,11-14 ans,11.0,0.6
2023,Hommes,15-17 ans,44.0,3.3
2023,Hommes,18-24 ans,262.0,9.2
2023,Hommes,45-64 ans,2450.0,28.7
2023,Hommes,25-44 ans,1582.0,19.5
2023,Hommes,65-84 ans,1743.0,31.6
2023,Hommes,85 ans et plus,562.0,75.8
2023,Femmes,15-17 ans,33.0,2.6
2023,Femmes,25-44 ans,430.0,5.1
2023,Femmes,45-64 ans,866.0,9.7
