Indicateur,Année,Sexe,Classe_d_age,Diplôme,Nouvelles régions,PCS ,Situation financière perçue,Estimation,ic_inf,ic_sup,Effectif Brut,Différence avec les autres régions,Chapitre,Situation professionnelle,Type de ménage,IC 95%
Tentative de suicide au cours de la vie,2024,Hommes,70-79 ans,Tous,Tous,Tous,Tous,2.2,1.4,3.3,1938,,Conduites suicidaires,Tous,Tous,"[ 1,4 - 3,3 ]"
Tentative de suicide au cours de la vie,2024,Femmes,18-29 ans,Tous,Tous,Tous,Tous,9.3,8.1,10.7,3308,,Conduites suicidaires,Tous,Tous,"[ 8,1 - 10,7 ]"
Tentative de suicide au cours de la vie,2024,Femmes,50-59 ans,Tous,Tous,Tous,Tous,7.0,6.1,8.1,3509,,Conduites suicidaires,Tous,Tous,"[ 6,1 - 8,1 ]"
Tentative de suicide au cours de la vie,2024,Femmes,60-69 ans,Tous,Tous,Tous,Tous,6.9,5.9,8.1,3313,,Conduites suicidaires,Tous,Tous,"[ 5,9 - 8,1 ]"
Tentative de suicide au cours de la vie,2024,Femmes,70-79 ans,Tous,Tous,Tous,Tous,5.8,4.6,7.2,2147,,Conduites suicidaires,Tous,Tous,"[ 4,6 - 7,2 ]"
Tentative de suicide au cours de la vie,2024,Hommes,18-29 ans,Tous,Tous,Tous,Tous,4.0,3.1,5.1,2844,,Conduites suicidaires,Tous,Tous,"[ 3,1 - 5,1 ]"
Tentative de suicide au cours de la vie,2024,Hommes,50-59 ans,Tous,Tous,Tous,Tous,3.6,2.8,4.4,3050,,Conduites suicidaires,Tous,Tous,"[ 2,8 - 4,4 ]"
Tentative de suicide au cours de la vie,2024,Hommes,30-39 ans,Tous,Tous,Tous,Tous,3.8,2.9,4.9,2544,,Conduites suicidaires,Tous,Tous,"[ 2,9 - 4,9 ]"
Tentative de suicide au cours de la vie,2024,Hommes,40-49 ans,Tous,Tous,Tous,Tous,3.8,3.0,4.8,2867,,Conduites suicidaires,Tous,Tous,"[ 3,0 - 4,8 ]"
Tentative de suicide au cours de la vie,2024,Hommes,60-69 ans,Tous,Tous,Tous,Tous,3.8,3.0,4.7,2803,,Conduites suicidaires,Tous,Tous,"[ 3,0 - 4,7 ]"
Tentative de suicide au cours de la vie,2024,Femmes,30-39 ans,Tous,Tous,Tous,Tous,6.6,5.6,7.7,3250,,Conduites suicidaires,Tous,Tous,"[ 5,6 - 7,7 ]"
Tentative de suicide au cours de la vie,2024,Femmes,40-49 ans,Tous,Tous,Tous,Tous,6.6,5.6,7.7,3367,,Conduites suicidaires,Tous,Tous,"[ 5,6 - 7,7 ]"
